job_id,machine_type,product_type,material_type,quantity,operator_experience_years,setup_complexity,machine_age_years,ambient_temperature_c,shift,day_of_week,production_time_min,energy_kwh
J00047,Welding,E,Plastic,396,12,4,9,22.2,Evening,Mon,853.8,144.3
J00048,Lathe,D,Steel,312,4,5,5,29.8,Night,Fri,845.8,76.21
J00049,CNC,B,Plastic,152,14,1,5,24.4,Evening,Sat,284.1,34.44
J00050,Lathe,D,Composite,357,3,2,8,28.8,Evening,Tue,877.5,73.48
J00051,Welding,E,Steel,456,0,1,1,34.9,Morning,Wed,1467.6,294.99
J00052,Press,E,Aluminum,312,8,2,10,26.4,Night,Fri,440.3,67.88
J00053,CNC,C,Steel,351,10,3,1,27.5,Evening,Mon,954.2,125.97
J00054,Welding,A,Steel,268,4,5,5,25.6,Night,Sat,981.7,190.22
J00055,CNC,C,Steel,458,0,2,8,28.0,Evening,Sat,1437.7,212.44
J00056,Lathe,D,Steel,487,13,3,9,27.6,Evening,Fri,1052.4,108.89
J00057,Assembly,E,Aluminum,112,5,4,2,32.2,Evening,Wed,181.1,10.79
J00058,Lathe,D,Steel,39,6,2,3,19.8,Evening,Sun,107.9,11.13
J00059,Lathe,A,Aluminum,481,4,2,6,19.7,Evening,Thu,977.8,79.9
J00060,Press,A,Plastic,468,5,4,8,30.7,Morning,Sun,474.1,71.55
J00061,Press,C,Steel,131,2,3,5,25.9,Night,Fri,218.5,37.98
J00062,Lathe,B,Steel,420,8,2,9,23.9,Evening,Fri,1101.4,102.6
J00063,Press,E,Steel,17,0,3,4,25.8,Morning,Mon,45.8,10.05
J00064,Lathe,E,Aluminum,16,2,3,2,26.8,Morning,Wed,58.5,5.23
J00065,CNC,E,Composite,282,6,2,9,28.9,Morning,Mon,795.6,112.4
J00066,Assembly,B,Plastic,43,14,1,3,30.6,Evening,Sat,49.0,2.99
J00067,Welding,B,Composite,374,5,5,9,26.6,Evening,Wed,1245.1,242.27
J00068,Welding,C,Aluminum,161,6,1,7,25.5,Morning,Sun,458.8,91.39
J00069,Press,D,Plastic,103,7,3,9,29.1,Night,Mon,142.7,22.29
J00070,Assembly,B,Aluminum,234,3,1,1,27.7,Evening,Thu,326.3,20.64
J00071,Assembly,C,Plastic,268,0,2,8,25.6,Evening,Wed,398.5,22.9
J00072,Press,C,Aluminum,327,11,4,2,31.1,Morning,Fri,374.4,57.62
J00073,CNC,B,Composite,305,15,4,8,30.1,Morning,Mon,749.3,103.74
J00074,Assembly,E,Plastic,71,3,1,10,29.9,Evening,Tue,110.3,6.33
J00075,Press,E,Aluminum,152,0,1,1,27.0,Evening,Sun,199.4,33.3
J00076,Press,C,Aluminum,188,7,2,4,28.4,Night,Sun,247.5,41.51
J00077,Welding,C,Composite,106,12,5,7,26.6,Night,Mon,350.1,70.68
J00078,Lathe,A,Aluminum,312,3,5,8,35.4,Night,Sun,763.8,72.64
J00079,Assembly,E,Plastic,139,10,3,3,34.8,Morning,Fri,185.7,10.98
J00080,Lathe,B,Aluminum,150,7,2,9,29.4,Evening,Tue,330.2,27.91
J00081,Press,D,Composite,142,7,5,8,32.8,Evening,Thu,241.0,39.25
J00082,Press,E,Aluminum,276,6,1,5,27.3,Night,Sat,349.5,57.64
J00083,Assembly,A,Steel,322,4,2,9,27.2,Morning,Thu,592.0,36.68
J00084,Press,A,Composite,260,2,1,7,16.9,Morning,Thu,380.5,60.95
J00085,Press,B,Composite,464,0,4,9,26.9,Morning,Mon,659.6,118.68
J00086,Assembly,C,Plastic,41,13,5,1,28.2,Evening,Sat,82.0,4.8
J00087,Press,B,Steel,203,5,4,1,33.0,Evening,Sun,280.1,47.81
J00088,Assembly,C,Composite,375,1,4,1,26.5,Morning,Wed,666.4,44.33
J00089,CNC,A,Plastic,452,14,5,8,28.4,Morning,Sun,804.7,95.82
J00090,Lathe,C,Composite,500,15,4,4,23.8,Night,Sat,926.9,85.69
J00091,Lathe,B,Plastic,156,15,5,3,21.3,Evening,Fri,267.2,20.27
J00092,Lathe,C,Plastic,270,4,1,2,24.7,Morning,Thu,403.3,32.39
J00093,Lathe,D,Composite,129,10,1,2,36.6,Morning,Sat,270.9,24.39
J00094,Press,D,Aluminum,107,6,5,6,26.3,Evening,Fri,154.0,25.73
J00095,CNC,E,Steel,96,4,2,6,29.0,Evening,Thu,311.2,47.67
J00096,Lathe,E,Steel,199,9,2,6,32.1,Morning,Thu,446.6,42.75
J00097,Welding,C,Aluminum,305,10,4,1,31.0,Morning,Wed,829.7,157.06
J00098,Assembly,A,Aluminum,476,2,4,1,30.2,Morning,Thu,817.4,49.17
J00099,Lathe,A,Aluminum,210,7,1,1,35.9,Evening,Mon,405.4,33.21
J00100,Press,B,Steel,487,5,2,3,26.4,Morning,Wed,702.1,116.41
J00101,CNC,E,Steel,312,11,3,8,33.1,Night,Sun,969.4,141.26
J00102,CNC,B,Steel,419,8,5,10,33.5,Evening,Wed,1355.2,191.62
J00103,Assembly,A,Plastic,324,6,5,2,33.4,Night,Tue,387.2,22.47
J00104,Press,D,Composite,302,10,2,7,33.2,Evening,Wed,434.1,65.89
J00105,CNC,D,Steel,219,0,5,10,27.1,Evening,Fri,790.9,112.88
J00106,Press,E,Steel,388,6,4,1,27.9,Morning,Wed,516.7,79.39
J00107,CNC,D,Plastic,418,14,4,5,20.6,Morning,Sat,704.7,83.91
J00108,Assembly,A,Composite,472,8,1,9,31.0,Morning,Sat,744.1,48.33
J00109,Lathe,E,Steel,207,6,3,2,32.7,Morning,Thu,515.9,45.8
J00110,Lathe,A,Aluminum,268,7,5,5,28.3,Morning,Tue,500.4,44.52
J00111,CNC,C,Composite,388,9,3,2,28.7,Night,Fri,984.8,132.75
J00112,Assembly,E,Plastic,407,4,2,9,31.8,Morning,Thu,505.0,26.87
J00113,Assembly,A,Plastic,179,8,1,5,24.4,Night,Thu,240.1,13.29
J00114,Lathe,E,Composite,462,12,1,2,28.4,Morning,Thu,690.0,60.29
J00115,Assembly,C,Aluminum,49,10,5,1,29.0,Evening,Tue,106.9,7.15
J00116,Press,A,Steel,190,9,4,6,29.7,Night,Mon,305.6,52.42
J00117,Assembly,B,Steel,435,9,3,5,25.2,Morning,Sun,762.6,51.08
J00118,Assembly,D,Plastic,55,10,1,9,29.6,Morning,Fri,67.5,4.25
J00119,Welding,E,Plastic,423,6,2,9,27.6,Morning,Wed,1006.0,176.22
J00120,Assembly,D,Composite,333,10,1,6,28.7,Evening,Tue,523.5,35.7
J00121,Lathe,C,Aluminum,294,11,4,3,21.2,Night,Sun,606.4,54.97
J00122,Press,B,Plastic,235,12,4,1,26.2,Morning,Sat,233.6,33.95
J00123,Press,D,Composite,93,5,3,3,30.6,Morning,Sat,138.7,25.57
J00124,Press,A,Steel,67,11,2,3,23.7,Night,Mon,105.1,18.95
J00125,Welding,B,Plastic,81,11,1,1,34.5,Evening,Wed,153.2,28.47
J00126,Lathe,C,Composite,231,13,1,4,27.0,Evening,Mon,409.7,36.94
J00127,CNC,D,Plastic,126,1,3,1,26.2,Evening,Fri,234.7,26.46
J00128,Assembly,A,Steel,401,10,3,8,31.0,Night,Mon,754.6,49.81
J00129,Welding,D,Steel,362,1,1,1,26.1,Evening,Tue,1287.2,272.56
J00130,Lathe,B,Plastic,326,2,3,6,24.1,Evening,Wed,617.5,50.91
J00131,CNC,B,Composite,357,13,4,7,30.6,Night,Tue,1020.2,145.41
J00132,Press,A,Composite,475,5,4,7,29.9,Evening,Wed,660.3,117.04
J00133,Press,B,Plastic,182,7,5,7,25.7,Night,Thu,223.2,30.67
J00134,CNC,C,Plastic,44,12,5,6,32.8,Morning,Wed,123.9,15.41
J00135,Lathe,E,Composite,229,11,4,8,31.8,Morning,Thu,565.9,50.53
J00136,Lathe,D,Aluminum,271,6,2,3,28.3,Evening,Thu,544.1,47.6
J00137,Welding,C,Steel,408,0,3,10,30.0,Evening,Fri,1615.4,325.78
J00138,Lathe,E,Steel,327,5,4,8,25.3,Morning,Mon,873.7,85.11
J00139,CNC,C,Steel,172,4,5,1,26.1,Night,Tue,540.0,76.52
J00140,Press,B,Plastic,102,9,4,9,29.9,Morning,Tue,117.4,17.43
J00141,Press,D,Steel,477,11,1,5,30.0,Morning,Sat,544.0,95.35
J00142,Welding,D,Plastic,343,1,1,5,31.9,Morning,Tue,821.9,135.09
J00143,Assembly,C,Steel,215,11,2,4,31.7,Morning,Wed,368.4,25.51
J00144,Lathe,D,Aluminum,310,3,2,10,16.4,Morning,Sat,638.6,56.45
J00145,Assembly,A,Plastic,14,14,2,1,27.9,Evening,Sat,33.2,2.37
J00146,CNC,D,Plastic,461,0,1,3,29.2,Night,Sat,1022.1,127.63
J00147,Welding,B,Aluminum,82,0,1,9,29.3,Evening,Sun,275.4,57.21
J00148,Welding,B,Steel,111,2,2,2,29.8,Evening,Thu,381.4,82.59
J00149,Assembly,C,Steel,464,8,5,1,22.9,Morning,Sat,712.5,45.31
J00150,CNC,A,Steel,437,5,2,3,34.2,Evening,Wed,1302.7,175.57
J00151,Lathe,A,Plastic,463,11,5,10,21.5,Evening,Tue,762.5,53.64
J00152,Lathe,D,Plastic,416,10,5,9,25.9,Evening,Fri,644.2,53.37
J00153,Welding,E,Steel,343,12,4,5,24.0,Morning,Tue,981.3,204.6
J00154,Lathe,D,Aluminum,86,3,2,9,33.6,Evening,Mon,194.1,17.42
J00155,Welding,B,Plastic,456,7,1,10,24.7,Evening,Sun,1082.1,181.49
J00156,Assembly,B,Plastic,415,5,5,6,32.6,Night,Sun,636.3,35.31
J00157,Lathe,B,Steel,163,10,5,4,31.2,Night,Mon,396.8,40.52
J00158,Lathe,C,Composite,251,4,1,3,24.7,Morning,Sun,519.9,49.33
J00159,Assembly,A,Aluminum,428,11,3,10,30.9,Morning,Sun,603.2,37.53
J00160,Lathe,C,Aluminum,434,0,3,7,21.8,Morning,Sun,978.9,82.63
J00161,Welding,B,Aluminum,118,13,4,8,32.5,Evening,Sun,376.6,67.84
J00162,CNC,D,Steel,453,4,4,5,23.0,Evening,Tue,1380.0,181.98
J00163,Press,D,Steel,335,1,4,2,20.2,Evening,Sat,498.0,82.21
J00164,Assembly,E,Steel,320,15,2,9,28.6,Evening,Mon,476.7,30.96
J00165,Welding,C,Composite,369,7,4,1,28.3,Morning,Thu,1111.6,213.93
J00166,CNC,E,Composite,235,12,4,1,28.9,Evening,Thu,535.2,69.52
J00167,CNC,E,Aluminum,458,10,3,4,28.8,Night,Mon,1068.5,140.08
J00168,Welding,E,Composite,58,9,2,3,33.6,Morning,Sun,184.6,41.36
J00169,Press,D,Aluminum,172,1,3,2,30.8,Morning,Fri,228.9,35.62
J00170,CNC,D,Plastic,345,5,5,4,38.5,Evening,Sat,658.2,77.25
J00171,CNC,E,Steel,491,3,1,4,29.0,Morning,Fri,1315.0,190.35
J00172,Assembly,C,Aluminum,476,14,3,5,26.2,Evening,Sun,647.2,41.52
J00173,Lathe,C,Aluminum,466,6,3,9,25.5,Morning,Sun,929.4,78.92
J00174,Welding,D,Plastic,368,11,4,4,28.7,Morning,Fri,804.1,140.26
J00175,Lathe,E,Composite,492,6,3,6,30.2,Morning,Fri,1087.1,95.69
J00176,Assembly,B,Plastic,398,0,5,5,17.6,Morning,Sun,560.6,31.97
J00177,Assembly,B,Steel,474,2,1,5,23.2,Night,Thu,943.5,64.93
J00178,Press,A,Steel,51,4,2,1,24.5,Morning,Sat,88.1,15.55
J00179,Welding,E,Steel,453,7,5,7,31.0,Night,Tue,1673.6,363.01
J00180,Welding,E,Plastic,458,6,5,8,34.2,Morning,Thu,1106.2,190.37
J00181,Press,A,Steel,424,13,4,4,30.7,Evening,Tue,594.4,99.36
J00182,Assembly,E,Aluminum,47,14,4,1,26.3,Night,Tue,98.3,6.18
J00183,CNC,A,Aluminum,58,3,4,9,29.8,Evening,Wed,202.1,26.39
J00184,Lathe,E,Steel,235,10,2,1,31.7,Night,Thu,499.3,43.6
J00185,Welding,B,Steel,423,3,5,3,29.2,Morning,Thu,1477.0,315.23
J00186,CNC,D,Steel,406,13,5,8,25.7,Evening,Fri,1125.3,168.6
J00187,Welding,C,Composite,354,5,4,2,29.3,Evening,Wed,1043.2,197.19
J00188,Welding,E,Aluminum,362,7,3,6,27.8,Evening,Fri,1123.2,218.32
J00189,Welding,A,Composite,195,15,1,5,26.6,Morning,Tue,525.0,106.25
J00190,Lathe,C,Steel,240,10,3,2,27.2,Evening,Sat,551.6,50.92
J00191,Welding,D,Aluminum,63,11,1,9,27.5,Night,Tue,191.8,36.68
J00192,Press,E,Aluminum,141,3,2,8,26.3,Morning,Fri,186.7,29.76
J00193,Assembly,E,Aluminum,197,8,5,4,31.9,Evening,Thu,323.6,21.27
J00194,Assembly,B,Plastic,33,1,2,3,28.3,Evening,Sat,60.0,3.64
J00195,CNC,C,Aluminum,39,9,5,4,16.9,Evening,Thu,131.6,17.74
J00196,CNC,B,Plastic,485,10,3,9,24.5,Morning,Wed,924.8,110.26
J00197,CNC,D,Composite,408,5,4,7,35.5,Evening,Wed,1280.6,169.48
J00198,Lathe,C,Steel,263,5,5,6,23.5,Evening,Sat,597.5,56.85
J00199,Assembly,C,Aluminum,78,12,5,4,27.2,Night,Tue,160.7,9.66
J00200,Welding,B,Plastic,109,5,1,6,27.8,Morning,Mon,247.2,43.18
J00201,CNC,D,Composite,423,7,4,10,24.1,Evening,Fri,1128.6,154.65
J00202,Lathe,B,Steel,338,12,4,8,27.1,Evening,Thu,773.9,71.48
J00203,Press,A,Steel,484,6,2,8,23.7,Evening,Mon,727.3,122.2
J00204,Lathe,D,Composite,174,9,5,2,31.7,Morning,Mon,380.3,33.81
J00205,Assembly,A,Plastic,393,11,1,9,24.7,Morning,Fri,457.2,25.56
J00206,Assembly,E,Aluminum,178,6,1,1,35.7,Morning,Wed,248.5,15.69
J00207,Lathe,A,Aluminum,31,15,1,2,34.5,Morning,Tue,57.7,5.94
J00208,Welding,C,Aluminum,328,0,5,4,25.2,Night,Wed,1149.4,220.32
J00209,Welding,E,Plastic,279,10,5,9,34.3,Night,Thu,736.9,135.81
J00210,Press,D,Steel,271,6,4,7,36.1,Morning,Wed,424.7,76.07
J00211,Press,E,Plastic,83,7,4,9,35.5,Morning,Thu,122.5,18.11
J00212,Lathe,B,Composite,395,6,3,3,33.1,Evening,Thu,968.0,87.94
J00213,Assembly,D,Composite,487,5,3,9,28.1,Morning,Thu,914.9,57.55
J00214,Assembly,E,Aluminum,421,5,2,7,29.8,Evening,Thu,686.5,40.25
J00215,Press,A,Composite,163,13,5,3,29.4,Evening,Tue,220.2,37.17
J00216,Press,D,Composite,440,11,4,9,33.3,Night,Tue,630.5,93.7
J00217,Press,D,Composite,165,7,2,1,25.7,Evening,Fri,209.5,34.27
J00218,Lathe,C,Steel,282,4,4,3,19.9,Morning,Sat,649.2,59.63
J00219,Welding,A,Composite,352,15,3,4,26.7,Morning,Sun,936.3,181.66
J00220,CNC,E,Steel,493,11,1,7,27.2,Evening,Sat,1343.4,194.59
J00221,Press,C,Plastic,385,13,4,5,19.3,Morning,Tue,366.8,51.11
J00222,Lathe,A,Plastic,435,2,1,4,27.6,Night,Wed,751.1,58.87
J00223,CNC,C,Composite,284,14,4,8,29.5,Night,Thu,806.8,108.37
J00224,CNC,D,Steel,236,8,3,9,26.6,Night,Fri,750.4,109.89
J00225,CNC,E,Aluminum,277,2,3,2,35.4,Evening,Sat,751.4,94.29
J00226,Welding,A,Steel,402,3,3,1,25.1,Morning,Fri,1224.4,251.86
J00227,Press,B,Composite,316,5,4,9,23.9,Morning,Fri,473.3,74.64
J00228,Welding,E,Plastic,481,1,3,7,28.1,Evening,Tue,1272.9,215.28
J00229,Lathe,A,Steel,292,7,3,10,22.4,Evening,Tue,726.6,64.37
J00230,CNC,E,Steel,378,13,3,4,31.0,Morning,Sat,929.4,127.14
J00231,Assembly,E,Steel,372,5,1,9,25.7,Morning,Tue,727.4,48.19
J00232,Press,A,Plastic,156,10,5,1,33.3,Evening,Wed,189.6,26.93
J00233,Assembly,E,Steel,310,9,4,10,30.8,Evening,Mon,614.6,39.97
J00234,Welding,A,Plastic,156,14,4,8,30.3,Evening,Fri,354.1,62.04
J00235,Lathe,C,Plastic,456,12,1,10,32.7,Evening,Tue,658.4,51.81
J00236,Welding,C,Composite,11,12,3,8,31.0,Evening,Fri,57.8,13.85
J00237,Welding,C,Plastic,472,9,5,5,25.7,Evening,Fri,1089.1,196.03
J00238,Welding,E,Aluminum,108,12,1,5,27.4,Night,Thu,299.4,60.69
J00239,Welding,B,Composite,181,14,1,7,31.2,Night,Thu,492.4,103.96
J00240,Welding,D,Steel,449,11,5,7,21.4,Evening,Tue,1387.0,281.37
J00241,Assembly,B,Composite,436,14,3,1,32.9,Morning,Wed,623.7,41.91
J00242,Welding,A,Steel,385,7,3,3,36.1,Night,Sat,1375.4,288.57
J00243,Press,C,Composite,315,5,3,5,30.2,Morning,Wed,418.3,70.7
J00244,Welding,B,Composite,86,10,4,1,26.7,Evening,Fri,244.2,47.76
J00245,Welding,E,Steel,171,12,5,7,20.8,Evening,Fri,555.8,112.27
J00246,CNC,E,Aluminum,309,10,4,3,25.5,Evening,Fri,708.1,87.55
J00247,Assembly,C,Steel,493,2,5,1,24.4,Evening,Wed,966.6,66.25
J00248,Press,E,Plastic,14,0,5,4,25.5,Morning,Thu,58.4,10.17
J00249,Assembly,D,Aluminum,496,11,5,1,26.6,Morning,Wed,737.6,44.62
J00250,Welding,D,Composite,192,9,4,6,30.6,Night,Sun,714.5,147.93
J00251,Press,C,Composite,474,2,5,2,36.4,Evening,Tue,658.0,112.84
J00252,Press,A,Composite,346,0,1,8,29.5,Night,Mon,553.4,79.87
J00253,Assembly,B,Composite,180,2,2,10,33.7,Night,Sat,404.1,25.23
J00254,Press,A,Aluminum,379,7,2,1,32.1,Morning,Wed,424.7,65.83
J00255,Assembly,A,Plastic,197,15,1,1,29.4,Morning,Fri,209.0,11.73
J00256,Welding,C,Plastic,197,12,5,2,24.5,Evening,Sat,436.3,78.15
J00257,CNC,B,Aluminum,197,1,2,10,21.6,Morning,Sat,512.1,64.74
J00258,Press,E,Plastic,410,8,5,5,24.2,Evening,Mon,410.7,55.07
J00259,CNC,A,Plastic,83,9,4,8,36.2,Evening,Sat,207.5,22.58
J00260,Welding,E,Composite,200,3,5,7,35.2,Morning,Sat,682.7,144.71
J00261,Lathe,B,Composite,370,11,1,9,28.0,Evening,Wed,771.7,68.85
J00262,Lathe,A,Aluminum,329,12,4,9,28.6,Morning,Mon,582.8,48.91
J00263,Press,B,Composite,408,2,5,3,27.1,Evening,Tue,602.7,98.19
J00264,CNC,D,Plastic,403,14,5,5,35.9,Night,Sun,786.9,92.62
J00265,Welding,C,Steel,103,8,5,4,30.5,Evening,Mon,390.3,81.54
J00266,Welding,A,Plastic,265,13,3,9,26.2,Evening,Tue,626.4,106.5
J00267,Lathe,A,Steel,449,5,1,4,31.9,Night,Sat,1196.7,108.96
J00268,Welding,B,Plastic,437,4,4,8,26.3,Morning,Thu,1186.2,194.46
J00269,Assembly,D,Plastic,58,5,2,5,31.0,Morning,Mon,83.7,4.96
J00270,CNC,C,Plastic,191,3,5,9,24.0,Morning,Thu,429.7,51.83
J00271,CNC,D,Plastic,474,7,4,10,28.9,Evening,Sun,1037.9,119.89
J00272,CNC,B,Steel,162,0,2,7,25.2,Morning,Fri,476.8,63.85
J00273,Press,E,Composite,120,2,1,8,30.7,Evening,Thu,185.7,28.52
J00274,Welding,C,Steel,235,11,5,7,24.3,Morning,Tue,792.4,176.08
J00275,CNC,E,Composite,340,14,4,6,23.0,Night,Tue,829.2,110.67
J00276,Lathe,A,Aluminum,276,12,5,8,26.7,Morning,Wed,496.3,45.91
J00277,Welding,C,Plastic,61,5,4,9,29.3,Night,Sun,192.0,32.95
J00278,Lathe,C,Aluminum,131,4,5,6,27.4,Morning,Fri,307.9,26.42
J00279,Lathe,B,Aluminum,12,13,5,8,29.8,Morning,Sat,62.1,6.11
J00280,Press,E,Steel,320,5,2,10,29.3,Night,Sun,504.4,90.63
J00281,CNC,C,Plastic,427,6,5,10,35.2,Evening,Tue,946.3,113.43
J00282,CNC,C,Composite,102,5,4,9,22.8,Evening,Sat,320.8,45.17
J00283,Welding,D,Aluminum,225,9,4,8,29.9,Night,Fri,710.3,134.6
J00284,CNC,E,Plastic,19,3,1,6,24.5,Night,Fri,49.9,6.9
J00285,Press,A,Composite,250,2,4,4,29.0,Evening,Sun,370.8,61.39
J00286,CNC,B,Steel,190,10,2,4,30.4,Morning,Thu,477.9,70.02
J00287,CNC,A,Aluminum,434,12,4,5,30.0,Night,Fri,1095.6,131.2
J00288,Press,C,Steel,336,9,5,5,25.0,Morning,Sun,492.8,85.96
J00289,Welding,B,Composite,377,2,4,9,22.4,Morning,Mon,1217.8,240.37
J00290,Press,E,Composite,13,2,2,9,32.1,Evening,Tue,34.0,6.96
J00291,Welding,E,Steel,327,8,1,9,27.3,Morning,Fri,1055.6,210.8
J00292,Assembly,E,Composite,351,14,4,6,30.6,Morning,Wed,557.8,37.29
J00293,CNC,E,Steel,39,13,5,9,24.6,Morning,Tue,134.1,19.66
J00294,Welding,E,Aluminum,281,10,2,10,24.7,Evening,Mon,733.3,140.5
J00295,Lathe,A,Steel,120,8,3,5,33.8,Evening,Thu,305.9,28.31
J00296,CNC,A,Plastic,105,6,3,6,30.2,Night,Sun,239.8,29.41
J00297,Assembly,A,Steel,486,8,5,6,29.8,Morning,Mon,902.0,60.41
J00298,CNC,A,Plastic,41,15,4,2,34.7,Evening,Thu,101.4,12.72
J00299,CNC,B,Steel,422,2,1,1,35.3,Morning,Wed,1217.7,169.75
J00300,Press,C,Composite,467,8,4,4,29.1,Morning,Wed,547.4,93.19
J00301,Press,A,Steel,449,6,3,2,28.3,Morning,Sat,589.5,96.34
J00302,Press,D,Steel,66,11,5,6,23.6,Night,Fri,126.4,21.54
J00303,Lathe,A,Plastic,459,13,4,1,33.5,Evening,Wed,698.0,51.85
J00304,Press,E,Composite,328,9,1,9,30.1,Night,Tue,455.4,73.96
J00305,Lathe,A,Aluminum,421,13,1,5,29.4,Night,Fri,722.0,62.69
J00306,Press,C,Aluminum,217,1,4,8,22.2,Evening,Wed,320.6,50.92
J00307,Press,C,Steel,484,8,4,3,34.0,Night,Thu,775.3,137.78
J00308,CNC,C,Composite,422,3,1,3,32.1,Morning,Tue,1089.7,148.9
J00309,Welding,B,Aluminum,458,0,5,4,28.3,Evening,Thu,1455.9,283.86
J00310,CNC,B,Aluminum,428,3,3,5,33.8,Evening,Tue,1107.5,147.78
J00311,Welding,E,Plastic,412,7,4,1,35.9,Evening,Tue,971.5,159.84
J00312,CNC,E,Plastic,56,15,1,9,30.6,Morning,Thu,102.4,13.36
J00313,Lathe,C,Aluminum,25,1,2,2,30.0,Evening,Wed,67.0,6.54
J00314,Press,B,Aluminum,247,7,3,10,31.0,Evening,Wed,310.5,48.56
J00315,Press,A,Plastic,362,5,5,9,32.0,Morning,Thu,400.9,59.34
J00316,Welding,B,Composite,101,1,2,6,29.7,Morning,Sun,348.7,74.35
J00317,Assembly,D,Aluminum,372,5,4,1,26.0,Evening,Fri,606.4,34.9
J00318,Assembly,E,Steel,30,1,3,4,31.3,Evening,Thu,86.8,6.1
J00319,CNC,D,Composite,32,8,5,10,29.9,Morning,Tue,126.5,18.56
J00320,Assembly,D,Aluminum,323,6,1,1,27.0,Morning,Tue,446.2,26.25
J00321,Press,E,Plastic,127,4,2,7,28.7,Morning,Mon,141.4,20.73
J00322,CNC,E,Plastic,169,13,4,7,34.4,Evening,Fri,369.7,42.99
J00323,Assembly,B,Steel,103,5,1,1,34.3,Evening,Tue,185.9,13.19
